game_id,play_id,desc,penalty_accepted,decision_team,down,ydstogo,yardline_100,decline_down,decline_ydstogo,decline_yardline_100,decline_pred,accept_down,accept_ydstogo,accept_yardline_100,accept_pred,correct_call,diff
2022_07_NO_ARI,3589,"(5:51) (Shotgun) 14-A.Dalton pass incomplete short left to 1-M.Callaway. PENALTY on ARI-20-M.Wilson, Defensive Holding, 5 yards, enforced at NO 32 - No Play.",TRUE,Offense,3,3,68,4,3,68,0.3226624276467588,1,10,63,0.7283861584622445,TRUE,0.40572373081548574
2022_03_BAL_NE,1874,"(14:32) (Shotgun) 10-M.Jones pass deep left to 1-D.Parker to BAL 37 for 36 yards (21-B.Stephens). Penalty on BAL-21-B.Stephens, Defensive Holding, declined. NE 1-Parker 12th career 100-yard game.",FALSE,Offense,2,8,73,1,10,37,0.7237262588383283,1,10,63,0.7283861584622445,FALSE,0.004659899623916219
2022_04_MIN_NO,3370,"(8:39) (Shotgun) 8-K.Cousins pass short left to 18-J.Jefferson to MIN 35 for 3 yards (23-M.Lattimore) [56-D.Davis]. PENALTY on NO-21-B.Roby, Defensive Holding, 5 yards, enforced at MIN 32 - No Play.",TRUE,Offense,3,3,68,4,3,68,0.3226624276467588,1,10,63,0.7283861584622445,TRUE,0.40572373081548574
2022_11_DAL_MIN,2667,"(7:50) (No Huddle, Shotgun) 8-K.Cousins pass short middle to 86-J.Mundt to MIN 34 for 8 yards (6-D.Wilson). Penalty on DAL-27-J.Kearse, Defensive Holding, declined.",FALSE,Offense,2,5,74,1,10,66,0.7289206564073888,1,10,64,0.7285643978590748,TRUE,3.562585483140035e-4
2022_14_CLE_CIN,3356,"(14:08) (Shotgun) 4-D.Watson pass short middle to 11-D.Peoples-Jones to CLE 42 for 16 yards (29-C.Taylor-Britt) [94-S.Hubbard]. Penalty on CIN-29-C.Taylor-Britt, Defensive Holding, declined.",FALSE,Offense,3,8,74,1,10,58,0.7274938613352175,1,10,64,0.7285643978590748,FALSE,0.0010705365238572462
2022_05_LAC_CLE,2275,"(14:24) 10-J.Herbert pass incomplete short left to 40-Z.Horvath. PENALTY on CLE-21-D.Ward, Defensive Holding, 5 yards, enforced at LAC 31 - No Play.",TRUE,Offense,2,4,69,3,4,69,0.5140932485031229,1,10,64,0.7285643978590748,TRUE,0.2144711493559519
2022_13_BUF_NE,2796,"(5:39) (Shotgun) 17-J.Allen pass deep right to 14-S.Diggs to BUF 44 for 19 yards (31-Jo.Jones). Penalty on NE-31-Jo.Jones, Defensive Holding, declined.",FALSE,Offense,3,4,75,1,10,56,0.7271364295940207,1,10,65,0.728742563849774,FALSE,0.0016061342557532887
2022_15_SF_SEA,2927,"(:26) (Shotgun) 7-G.Smith pass short right to 25-T.Homer pushed ob at SEA 36 for 11 yards (7-C.Ward) [56-S.Ebukam]. Penalty on SF-57-D.Greenlaw, Defensive Holding, declined. Penalty on SF-97-N.Bosa, Illegal Use of Hands, declined. Penalty on SF-7-C.Ward, Defensive Holding, declined.",FALSE,Offense,3,2,75,1,10,64,0.7285643978590748,1,10,65,0.728742563849774,FALSE,1.7816599069919725e-4
2022_04_BUF_BAL,1752,"(1:47) (Shotgun) 17-J.Allen pass short right to 13-G.Davis pushed ob at BUF 37 for 13 yards (24-M.Peters). Penalty on BAL-21-B.Stephens, Defensive Holding, declined.",FALSE,Offense,1,10,76,1,10,63,0.7283861584622445,1,10,66,0.7289206564073888,FALSE,5.344979451442633e-4
2022_07_KC_SF,1227,"(11:03) (Shotgun) 15-P.Mahomes pass short left to 87-T.Kelce to KC 40 for 17 yards (33-T.Moore). Penalty on SF-1-J.Ward, Defensive Holding, declined. 2 YAC",FALSE,Offense,1,10,77,1,10,60,0.7278510001057265,1,10,67,0.729098675505048,FALSE,0.0012476753993215794
