desc,down,ydstogo,yardline_100,penalty_yards,penalty_accepted,penalty_type
"(9:14) (Shotgun) 10-D.Mills pass incomplete short left to 4-P.Dorsett. Penalty on HOU-4-P.Dorsett, Illegal Shift, declined.",2,17,67,NA,FALSE,NA
"(9:10) (Shotgun) PENALTY on HOU-71-T.Howard, False Start, 5 yards, enforced at HOU 33 - No Play.",3,17,67,-5,TRUE,False Start
"(1:28) (Shotgun) PENALTY on HOU-68-J.Britt, False Start, 5 yards, enforced at HOU 40 - No Play.",2,2,60,-5,TRUE,False Start
"(15:00) (Shotgun) 16-T.Lawrence pass incomplete short right to 11-M.Jones [94-D.Payne]. PENALTY on WAS-3-W.Jackson, Illegal Contact, 5 yards, enforced at JAX 25 - No Play.",1,10,75,5,TRUE,Illegal Contact
"(14:56) 25-J.Robinson right end pushed ob at JAX 32 for 2 yards (55-C.Holcomb). PENALTY on JAX, Illegal Shift, 5 yards, enforced at JAX 30 - No Play.",1,10,70,-5,TRUE,Illegal Shift
"(14:36) (Shotgun) 16-T.Lawrence pass short middle to 13-C.Kirk to 50 for 25 yards (22-D.Forrest). Penalty on WAS-25-B.St-Juste, Defensive Holding, declined.",1,15,75,NA,FALSE,NA
"(5:52) 16-T.Lawrence pass incomplete short right [25-B.St-Juste]. PENALTY on JAX-16-T.Lawrence, Intentional Grounding, 10 yards, enforced at JAX 37.",1,10,63,-10,TRUE,Intentional Grounding
"(2:04) (Shotgun) PENALTY on JAX-44-T.Walker, Neutral Zone Infraction, 6 yards, enforced at WAS 39 - No Play.",3,11,61,6,TRUE,Neutral Zone Infraction
"(12:41) (Shotgun) 11-C.Wentz pass incomplete short middle to 23-J.McKissic. PENALTY on JAX-91-D.Smoot, Roughing the Passer, 11 yards, enforced at JAX 22 - No Play.",3,10,22,11,TRUE,Roughing the Passer
"(9:07) 1-T.Etienne right end to JAX 45 for 16 yards (52-J.Davis, 3-W.Jackson). PENALTY on JAX, Illegal Formation, 5 yards, enforced at JAX 29 - No Play.",1,10,71,-5,TRUE,Illegal Formation
"(8:30) (Shotgun) 16-T.Lawrence sacked at JAX 18 for -6 yards (52-J.Davis). PENALTY on WAS-29-K.Fuller, Illegal Contact, 5 yards, enforced at JAX 24 - No Play.",2,15,76,5,TRUE,Illegal Contact
"(7:59) (Shotgun) 16-T.Lawrence pass incomplete deep left to 11-M.Jones [93-J.Allen]. PENALTY on WAS-29-K.Fuller, Defensive Pass Interference, 21 yards, enforced at JAX 29 - No Play.",1,10,71,21,TRUE,Defensive Pass Interference
"(:37) (Shotgun) PENALTY on JAX-74-C.Robinson, False Start, 5 yards, enforced at WAS 9 - No Play.",1,9,9,-5,TRUE,False Start
"(8:30) (Shotgun) 11-C.Wentz pass short middle to 10-C.Samuel to WAS 32 for 6 yards (26-S.Griffin). PENALTY on JAX, Defensive Too Many Men on Field, 6 yards, enforced at WAS 26 - No Play.",2,9,74,6,TRUE,Defensive Too Many Men on Field
"(3:35) (Shotgun) 39-J.Agnew right end to WAS 44 for 6 yards (95-C.Toohill; 22-D.Forrest). PENALTY on WAS-22-D.Forrest, Unnecessary Roughness, 15 yards, enforced at WAS 44.",2,3,50,15,TRUE,Unnecessary Roughness
